id,nombre,accion,motivo,lat_original,lng_original,lat_final,lng_final,municipio_texto,precision
v5zkfikupci9,Punto Mardory Atanasio Girardot Carrera 17b #33f-77,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
rnvbt4zvhm3w,Edifico Vanessa,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
2j725sxnfjgy,Edificio Ana pilar,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
bv68jnqvqfm4,Toro valle,corregida_por_texto,coordenada a 82 km del municipio declarado (toro),3.9037136,'-76.3003947,4.611,-76.079,toro,malla
btgt6svitf8s,_______________________,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
su8skafbehfe,cabra,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
enje9c7tm83z,perro,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
phfh6zs59fd3,Esto es una prueba,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
jabmnaykv4zw,______________________________,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
3xsjzn3ycjvr,eeeeee,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
zmsf7zkhfwei,"Zarzal ,valle del Cauca",corregida_por_texto,coordenada a 221 km del municipio declarado (zarzal),4.5954120050460405,'-74.08373220915121,4.3939,-76.0714,zarzal,malla
q2xnf63874bu,_______________,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
3nxhhyrgak32,____________________,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
e8i5kmu54zqb,Altagracia/Arabia,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
gbkc9f9szahz,Altos De Santa Elena Torre 55,corregida_por_texto,coordenada a 8 km del barrio declarado (santa elena),3.3703903,'-76.5545087,3.439,-76.523,,malla
6hij8v22kt8z,Capri,corregida_por_texto,coordenada a 13 km del barrio declarado (capri),3.4948622,'-76.4869142,3.3917,-76.5419,,malla
kyzdw37gf8hw,Centro convenciones Ayudas Departamento,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
c3sbvrhx9kqx,Altagracias,descartado_fuera_de_pais,coordenada fuera de Colombia y sin lugar reconocible,28.6808236,'-14.0084695,,,,gps
5gpafvemxqiy,Avenida Carrera 24#73-83,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
pd7f8j8wndxx,Remanso,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
yydwapeyaasi,Entre rocio alto y bajo carretera destapada salida a los moteles,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
4r6cwmi7vxgn,Ana pilar,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
nja66at6s8pe,Av. 5 Nte. #22 Norte-2 a 22 Norte-100,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
gjgqp66jcq92,"Calle 29 # 14-107 barrio Santa Ana parte alta, comuna 2",descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
tn9fkgwyyn4s,Melendez,corregida_por_texto,coordenada a 15 km del barrio declarado (melendez),3.2559298506231205,'-76.5570938067299,3.391,-76.547,,malla
v8svu7zrkibw,https://maps.app.goo.gl/jNekBE1rPxEsQg6QA?g_st=ac,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
496dpyfmhf9d,Carrera 39 #5 Diagonal edificio de colores,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
qmhq46kwp75j,AV 8N #8-15 Licores el arriero,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
b4kfpxauq5xm,CDI los Pinos Altos de Santa Elena comuna 18,corregida_por_texto,coordenada a 8 km del barrio declarado (santa elena),3.371273517426963,'-76.55534898396583,3.439,-76.523,,malla
h4vzrt5nup5t,3153591165,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
gih4x7z9hxhj,Geriátrico hermanitas de los pobres ( san Fernando),georreferenciada_aproximada,sin coordenada · centroide de barrio,,,3.4213,-76.5432,,malla
7ds5ydxwvczh,Ciudad capri,georreferenciada_aproximada,sin coordenada · centroide de barrio,,,3.3917,-76.5419,,malla
pwgm7fnq8x8p,Km 28 vereda San Marcos,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
qdgdby6e9999,Calle 2 bis 94b1- casa azul Meléndez,georreferenciada_aproximada,sin coordenada · centroide de barrio,,,3.391,-76.547,,malla
j6vkjx5tpmpm,5TA CON 44,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
8tbe6a6qgqny,Punto de acopio,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
8m2xc6hjc3by,Sede comunal el jordan,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
wtvr2p7b3fej,Carrreta 92 # 2A - 65,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
p4h996sjcf2q,Carrera 9 #40-35 Palmira,georreferenciada_aproximada,sin coordenada · centroide municipal,,,3.5394,-76.3036,palmira,malla
v65b8xxdsjcc,"Tengo comida preparada, muchos lugares llenos, que no quiero desperdiciar, un lu",descartado_fuera_de_pais,coordenada fuera de Colombia y sin lugar reconocible,36.88690329099777,31.014229547711682,,,,gps
n84zgh87,Envíos a Buenaventura — El Caney (Cra 83),corregida_por_texto,coordenada a 81 km del municipio declarado (buenaventura),3.3859231,'-76.5309457,3.88439695,-77.06762452788945,buenaventura,malla
fbhzs8qb,Envíos a Corregimiento de Montebello — Fundación Semillas de Arte,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
9i3gt5qrx9nr,"edificio kaluki en palmeto,cali.",georreferenciada_aproximada,sin coordenada · centroide municipal,,,3.4156667499999998,-76.5387152314527,cali,malla
cjm6twrpk3am,Calle 14 carera 35,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
tannjhsnc3gb,Altos de Santa Elena Meléndez,corregida_por_texto,coordenada a 8 km del barrio declarado (santa elena),3.3717190013075107,'-76.5575903951673,3.439,-76.523,,malla
fy7w2k5zisb5,Calle 2 a 93a-176 MELENDEZ,georreferenciada_aproximada,sin coordenada · centroide de barrio,,,3.391,-76.547,,malla
f7wtt9hqq4hi,Notaría 20,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
b3eunhji5fik,"Calle de Clara Palacios, 6",descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
iu2spe77zg3b,Refugio,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
x7ufqmixvwvj,Quien necesita ????,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
z7abzvd8f6h6,Calle la abeja antes de llegar a la 25 en la isla,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
hrkzys7amwei,Clínica veterinaria cimivet,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
w6yekf29h828,Carrera 24B 33C-153 Unidad residencial Fiorentina,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
7nhad298mx5w,Calle 70 #12B-24 IPUC NUEVA BASE,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
ajcpbfx9t4bx,"Calle 14, 54-15 Edificio Los vientos de Guadalupe",descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
j8erfdbvubdq,Cra28E1#28D3-52  lo encuentras como parqueadero los robles  pero ahi hay unas to,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
qeduy6twsghm,Via polideportivo,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
j3beqe4kkup7,Corregimiento la María - la cumbre valle,georreferenciada_aproximada,sin coordenada · centroide municipal,,,3.6362175,-76.56896164113567,la cumbre,malla
8cfu7q7hy6w8,Cra 24 # 56-124 Nueva floresta,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
ki7sqrjntjsm,Calle 36 #35-26 (centro de acopio Norte del valle),descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
p5g5jdkafkqv,Carrera 1c2 1 Chiminangos 1,georreferenciada_aproximada,sin coordenada · centroide de barrio,,,3.476,-76.499,,malla
ts5zgacq7b7y,Baudó chocó,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
